사용일자,노선명,역명,승차 총승객,하차 총승객,등록일자
"""20221007""","""경부선""","""의왕""","""10671""","""10586""","""20221010""",""""""
"""20221008""","""경부선""","""의왕""","""7072""","""6701""","""20221011""",""""""
"""20221009""","""경부선""","""의왕""","""4173""","""4056""","""20221012""",""""""
"""20221010""","""경부선""","""의왕""","""4531""","""4605""","""20221013""",""""""
"""20221011""","""경부선""","""의왕""","""10072""","""10004""","""20221014""",""""""
"""20221012""","""경부선""","""의왕""","""10348""","""10157""","""20221015""",""""""
"""20221013""","""경부선""","""의왕""","""11065""","""10969""","""20221016""",""""""
"""20221014""","""경부선""","""의왕""","""10563""","""10333""","""20221017""",""""""
"""20221015""","""경부선""","""의왕""","""6893""","""6626""","""20221018""",""""""
"""20221016""","""경부선""","""의왕""","""4845""","""4889""","""20221019""",""""""
"""20221017""","""경부선""","""의왕""","""10204""","""10166""","""20221020""",""""""
"""20221018""","""경부선""","""의왕""","""10480""","""10410""","""20221021""",""""""
"""20221019""","""경부선""","""의왕""","""10274""","""10289""","""20221022""",""""""
"""20221020""","""경부선""","""의왕""","""10442""","""10403""","""20221023""",""""""
"""20221021""","""경부선""","""의왕""","""10601""","""10241""","""20221024""",""""""
"""20221022""","""경부선""","""의왕""","""7149""","""6985""","""20221025""",""""""
"""20221023""","""경부선""","""의왕""","""5005""","""5032""","""20221026""",""""""
"""20221024""","""경부선""","""의왕""","""10042""","""9991""","""20221027""",""""""
"""20221025""","""경부선""","""의왕""","""10514""","""10403""","""20221028""",""""""
"""20221026""","""경부선""","""의왕""","""10394""","""10238""","""20221029""",""""""
"""20221027""","""경부선""","""의왕""","""10544""","""10408""","""20221030""",""""""
"""20221028""","""경부선""","""의왕""","""10737""","""10408""","""20221031""",""""""
"""20221029""","""경부선""","""의왕""","""7159""","""6839""","""20221101""",""""""
"""20221030""","""경부선""","""의왕""","""4711""","""4853""","""20221102""",""""""
"""20221031""","""경부선""","""의왕""","""10110""","""10073""","""20221103""",""""""
